RC1-after,,
wcA,DF,1stO Diff
1737.17,9.89,0.17
1737.3,9.86,-0.03
1737.43,9.84,-0.02
1762,10.02,0.18
1762.11,9.95,-0.07
1762.23,9.94,-0.01
1786.08,10.15,0.21
1786.21,10.1,-0.05
1786.36,10.05,-0.05
1810.49,10.25,0.2
1810.59,10.15,-0.1
1810.73,10.14,-0.01
1835.7,10.27,0.13
1835.85,10.27,0
1835.97,10.21,-0.06
1847.54,10.35,0.14
1854.41,10.35,2.27E-13
1854.54,10.34,-0.01
1854.68,10.31,-0.03
1879.54,10.42,0.11
1879.69,10.39,-0.03
1879.82,10.39,-2.27E-13
1905.6,10.5,0.11
1905.72,10.48,-0.02
1905.88,10.44,-0.04
1930.91,10.59,0.15
1931.03,10.55,-0.04
1931.16,10.52,-0.03
1955.75,10.64,0.12
1955.88,10.58,-0.06
1956.01,10.55,-0.03
1979.96,10.77,0.22
1980.07,10.69,-0.08
1980.21,10.69,2.27E-13
2004.76,10.87,0.18
2004.89,10.82,-0.05
2005.02,10.82,-2.27E-13
2030.12,10.99,0.17
2030.25,10.9,-0.09
2030.39,10.9,0
2055.17,11.05,0.15
2055.32,11.03,-0.02
2055.45,11.03,-4.55E-13
2081.2,11.17,0.14
2081.33,11.111,-0.059
2081.47,11.08,-0.031
2104.23,11.261,0.181
2104.39,11.23,-0.031
2104.51,11.19,-0.04
2128.76,11.36,0.17
2128.88,11.28,-0.08
2129.03,11.291,0.011
2154.07,11.44,0.149
2154.19,11.35,-0.09
2154.34,11.351,0.001
2176.86,11.52,0.169
2177,11.5,-0.02
2177.13,11.44,-0.06
2201.47,11.61,0.17
2201.6,11.54,-0.07
2201.74,11.51,-0.03
2213.27,11.63,0.12
2219.44,11.63,0
2225.62,11.671,0.041
2225.81,11.62,-0.051
2226.02,11.6,-0.02
2250.4,11.77,0.17
2250.53,11.74,-0.03
2250.68,11.76,0.02
2271.79,11.841,0.081
2271.94,11.87,0.029
2272.07,11.831,-0.039
2297.58,11.98,0.149
2297.69,11.91,-0.07
2297.82,11.891,-0.019
2319.38,12.04,0.149
2319.58,12.01,-0.03
2319.76,11.99,-0.02
2345.04,12.08,0.09
2345.26,12.07,-0.01
2345.45,12.01,-0.06
2370.31,12.18,0.17
2370.52,12.12,-0.06
2370.71,12.08,-0.04
2395.38,12.3,0.22
2412.97,12.34,0.04
2432.46,12.45,0.11
2432.68,12.41,-0.04
2432.87,12.39,-0.02
2456.81,12.53,0.14
2457.03,12.55,0.02
2457.22,12.49,-0.06
2480.79,12.611,0.121
2481,12.58,-0.031
2481.2,12.57,-0.01
2491.27,12.63,0.06
2515.92,12.75,0.12
2516.05,12.71,-0.04
2516.18,12.7,-0.01
2538.15,12.87,0.17
2538.28,12.811,-0.059
2538.43,12.77,-0.041
2563.26,12.96,0.19
2563.42,12.971,0.011
2563.56,12.881,-0.09
2587.67,13.09,0.209
2587.79,13.03,-0.06
2587.94,13.05,0.02
2609.38,13.13,0.08
2609.55,13.09,-0.04
2609.72,13.1,0.01
2633.87,13.2,0.1
2634.05,13.22,0.02
2634.21,13.2,-0.02
2659.23,13.37,0.17
2659.39,13.34,-0.03
2659.55,13.34,4.55E-13
2682.75,13.46,0.12
2682.9,13.47,0.01
2683.04,13.45,-0.02
2704.49,13.56,0.11
2704.71,13.54,-0.02
2704.94,13.54,0
2729.26,13.66,0.12
2729.39,13.62,-0.04
2729.54,13.6,-0.02
2737.53,13.63,0.03
2741.35,13.62,-0.01
2747.67,13.83,0.21
2749.99,13.72,-0.11
2750.15,13.7,-0.02
2750.3,13.69,-0.01
2775.07,13.86,0.17
2775.21,13.87,0.01
2775.35,13.81,-0.06
2800.1,13.95,0.14
2800.24,13.93,-0.02
2800.43,13.94,0.01
2822.59,14.08,0.14
2822.73,14.04,-0.04
2822.89,14.04,0
2830.988197,14.04819656,0.008196555
2832.77,14.05,0.001803445
2833.015455,14.11545455,0.065454545
2833.07,14.13,0.014545455
2833.09,14.130103,0.000102996
2854.43,14.24,0.109897004
2874.799724,14.37972373,0.13972373
2874.84,14.38,0.00027627
2874.86,14.38010467,0.000104666
2897.77,14.5,0.119895334
2897.92,14.46,-0.04
2898.08,14.48,0.02
2923.4,14.68,0.2
2923.55,14.63,-0.05
2923.71,14.62,-0.01
