RC2-after,,
wcAi,DF,1st Diff
18904.69,-157.5822356,0.005298256
18937.22,-157.74,-0.157764393
18990.9,-156.62,1.12
18993.92,-156.56,0.06
18994.81,-158.09,-1.53
19014.76536,-158.2146376,-0.124637553
19010.9,-158.1904952,0.024142349
19039.64,-158.37,-0.179504796
19086.25,-158.71,-0.34
19089.77,-158.76,-0.05
19095.27,-158.76,0
19096.62,-158.76,-3.64E-12
19096.68,-158.72,0.04
19097.11,-158.77,-0.05
19097.21,-158.76,0.01
19098.73,-158.74,0.02
19101.5,-158.75,-0.01
19101.79,-158.79,-0.04
19102.52,-158.78,0.01
19103.53,-158.74,0.04
19105.27,-158.79,-0.05
19106.73,-158.83,-0.04
19107.72,-158.8,0.03
19108.28,-158.81,-0.01
19110.95,-158.86,-0.05
19117.77,-159.04,-0.18
19167.18,-159.5,-0.46
19207.08,-159.83,-0.33
19270.45,-160.56,-0.73
19334.34,-160.87,-0.31
19386.16,-161.25,-0.38
19449.38,-162.03,-0.78
19513.24,-162.47,-0.44
19554.48,-162.89,-0.42
19617.31,-163.82,-0.93
19680.51,-164.7,-0.88
19743.89,-165.62,-0.92
19807.86,-166.16,-0.54
19871.87,-166.39,-0.23
19919.21,-166.65,-0.26
19982.84,-167.07,-0.42
20046.81,-167.39,-0.32
20110.56,-167.87,-0.48
20173.78,-168.44,-0.57
20237.56,-168.79,-0.35
20291.56,-169.5,-0.71
20355.41,-170.14,-0.64
20418.13,-171.1,-0.96
20481.78,-171.54,-0.44
20545.61,-172.07,-0.53
20609.31,-172.94,-0.87
20663.08,-173.64,-0.7
20727.09,-173.91,-0.27
20790.54,-174.73,-0.82
20853.37,-175.58,-0.85
20916.84,-176.49,-0.91
20980.22,-177.42,-0.93
21043.62,-178.32,-0.9
21107.18,-178.65,-0.33
21170.47,-179.48,-0.83
21225.13,-180.3,-0.82
21288.71,-181.11,-0.81
21352.66,-181.53,-0.42
21416.49,-182,-0.47
21479.86,-182.62,-0.62
21543.62,-183.44,-0.82
21606.95,-184.45,-1.01
21662.24,-185.18,-0.73
21708.58,-185.42,-0.24
21762.82,-185.84,-0.42
21826.75,-186.34,-0.5
21890.15,-187.05,-0.71
21938.77,-187.76,-0.71
21986.48,-188.51,-0.75
22041.23,-188.95,-0.44
22104.53,-190.11,-1.16
22168.38,-190.64,-0.53
22232.01,-191.08,-0.44
22295.7,-191.74,-0.66
22359.25,-192.46,-0.72
22422.82,-193.3,-0.84
22486.3,-194.21,-0.91
22550.27,-194.75,-0.54
22613.97,-195.25,-0.5
22677.35,-195.84,-0.59
22740.99,-196.2,-0.36
22804.41,-196.89,-0.69
22867.86,-197.08,-0.19
22923.33,-197.62,-0.54
22931.06,-197.7,-0.08
22994.87,-197.9,-0.2
23058.52,-198.04,-0.14
23121.93,-198.63,-0.59
23185.32,-199.19,-0.56
23247.72,-199.26,-0.07
23311.8,-199.3,-0.04
23375.55,-199.73,-0.43
23439.69,-199.86,-0.13
23503.68,-199.91,-0.05
23567.84,-199.99,-0.08
23630.62,-200.65,-0.66
23693.84,-201.57,-0.92
23756.55,-202.29,-0.72
23820.45,-202.5,-0.21
23855.56,-202.7,-0.2
23919.59,-202.79,-0.09
23983.41,-202.96,-0.17
24042.21,-203.21,-0.25
24105.53,-203.49,-0.28
24128.59,-203.61,-0.12
24134.51,-203.67,-0.06
24167.82,-203.98,-0.31
24190.41,-204.13,-0.15
24235.1,-204.25,-0.12
24263.14,-204.29,-0.04
24267.55,-204.34,-0.05
24280.32,-204.38,-0.04
24287.85348,-204.3965182,-0.016518206
24284.65,-204.3894941,0.007024079
24344.17,-204.52,-0.130505873
24407.9,-204.84,-0.32
24471.86,-204.9,-0.06
24516.09,-204.95,-0.05
24580.12,-205.05,-0.1
24643.34,-205.22,-0.17
24707.06,-205.35,-0.13
24771.03,-205.39,-0.04
24833.81,-206.05,-0.66
24897.6,-206.87,-0.82
24961.18,-207.54,-0.67
25024.73,-208.39,-0.85
25088.29,-209.17,-0.78
25151.32,-209.95,-0.78
25214.59,-210.92,-0.97
25277.95,-211.9,-0.98
25341.57,-212.83,-0.93
25405.54,-213.24,-0.41
25469.43,-213.84,-0.6
25533.48,-214.25,-0.41
25596.83,-214.81,-0.56
25660.58,-215.4,-0.59
25723.83,-216.31,-0.91
25787.62,-217.08,-0.77
25851.62,-217.55,-0.47
25915.69,-217.98,-0.43
25961.59,-218.01,-0.03
26012.76,-218.42,-0.41
26060.23,-218.91,-0.49
26111.9,-219.63,-0.72
26152.81,-220.32,-0.69
26216.24,-221.31,-0.99
26279.49,-222.29,-0.98
26342.91,-223.36,-1.07
26404.96,-224.12,-0.76
26468.73,-224.63,-0.51
26532.57,-225.08,-0.45
26580.08,-225.43,-0.35
26626.18,-226.11,-0.68
27356.87,-231.07,-0.5
27420.5,-231.7,-0.63
27483.72,-232.14,-0.44
27547.65,-232.54,-0.4
27611.84,-232.87,-0.33
27661.62,-233.33,-0.46
27682.97,-233.43,-0.1
