RC2-after,,
wcAi,DF,1st Diff
339419.97,-3434.22,-0.71
339483.74,-3435.23,-1.01
339547.5,-3436.03,-0.8
339611.22,-3436.89,-0.86
339675,-3437.86,-0.97
339675.13,-3437.89,-0.03
339722.71,-3438.46,-0.57
339773.17,-3439.21,-0.75
339827.77,-3440.05,-0.84
339881.98,-3440.69,-0.64
339931.52,-3441.4,-0.71
339995.39,-3442.22,-0.82
340059.12,-3443.13,-0.91
340123.02,-3444.05,-0.92
340186.55,-3444.98,-0.93
340250.37,-3445.66,-0.68
340314.2,-3446.52,-0.86
340378.02,-3447.29,-0.77
340441.39,-3448.13,-0.84
340505.21,-3449.03,-0.9
340569.08,-3449.88,-0.85
340632.89,-3450.52,-0.64
340688.47,-3451.24,-0.72
340743.61,-3451.81,-0.57
340806.62,-3452.61,-0.8
340859.4,-3453.31,-0.7
340913.57,-3454.05,-0.74
340968.02,-3454.73,-0.68
341018.62,-3455.34,-0.61
341082.36,-3456.24,-0.9
341146.26,-3457,-0.76
341210.2,-3458.07,-1.07
341274.29,-3458.6,-0.53
341338.1,-3459.29,-0.69
341401.88,-3459.92,-0.63
341422.43,-3460.18,-0.26
341437.71,-3463.26,-3.08
341458.22,-3460.43,2.83
341513.29,-3462.24,-1.81
341522.22,-3461.11,1.13
341586.07,-3461.7,-0.59
341649.85,-3462.53,-0.83
341713.22,-3463.36,-0.83
341776.95,-3464.56,-1.2
341840.92,-3465.54,-0.98
341904.41,-3466.55,-1.01
341949.31,-3467.05,-0.5
342013.08,-3468.02,-0.97
342055.44,-3468.49,-0.47
342119.04,-3469.5,-1.01
342163.56,-3469.93,-0.43
342206.63,-3470.52,-0.59
342270.3,-3471.38,-0.86
342312.58,-3471.97,-0.59
342376.33,-3472.76,-0.79
342438.77,-3473.61,-0.85
342483.34,-3474.27,-0.66
342539.04,-3475.04,-0.77
342602.54,-3476.06,-1.02
342656.87,-3476.65,-0.59
342720.61,-3477.5,-0.85
342784.15,-3478.23,-0.73
342838.42,-3478.94,-0.71
342893.09,-3479.61,-0.67
342948.48,-3480.39,-0.78
343004.66,-3481.05,-0.66
343062.87,-3481.85,-0.8
343126.55,-3482.47,-0.62
343190.06,-3483.28,-0.81
343253.91,-3484.11,-0.83
343307.54,-3484.81,-0.7
343361.96,-3485.47,-0.66
343409.71,-3486.14,-0.67
343457.79,-3486.69,-0.55
343503.77,-3487.18,-0.49
343546.85,-3487.86,-0.68
343564.2,-3487.77,0.09
343610.83,-3488.64,-0.87
343629.63,-3487.54,1.1
343674.36,-3489.71,-2.17
343738.18,-3490.58,-0.87
343801.84,-3491.37,-0.79
343865.56,-3491.98,-0.61
343929.2,-3492.73,-0.75
343992.73,-3493.41,-0.68
344055.72,-3494.07,-0.66
344119.44,-3494.78,-0.71
344182.37,-3495.58,-0.8
344234.62,-3496.17,-0.59
344298.05,-3496.81,-0.64
344334.23,-3496.79,0.02
344344.57,-3497.18,-0.39
344352.44,-3497.66,-0.48
344399.05,-3497.87,-0.21
344463.11,-3498.74,-0.87
344517.16,-3499.52,-0.78
344581.04,-3500.29,-0.77
344630.88,-3500.97,-0.68
344694.72,-3501.99,-1.02
344758.02,-3502.9,-0.91
344813.37,-3503.85,-0.95
344868.06,-3504.6,-0.75
344931.2,-3505.49,-0.89
344984.39,-3506.02,-0.53
345040.01,-3506.62,-0.6
345097.67,-3507.14,-0.52
345161.7,-3507.86,-0.72
345216.4,-3508.58,-0.72
345271.67,-3509.39,-0.81
345335.4,-3510.23,-0.84
345399.27,-3511.17,-0.94
345462.02,-3512.03,-0.86
345525.78,-3512.99,-0.96
345589.94,-3513.75,-0.76
345653.92,-3514.57,-0.82
345717.08,-3515.24,-0.67
345778.51,-3515.94,-0.7
345842.34,-3516.61,-0.67
345895.64,-3517.28,-0.67
345949.92,-3517.97,-0.69
346003.34,-3518.65,-0.68
346056.33,-3519.42,-0.77
346110.07,-3520,-0.58
346164.03,-3520.87,-0.87
346218.65,-3521.67,-0.8
346282.3,-3522.52,-0.85
346346.22,-3523.24,-0.72
346410.13,-3523.81,-0.57
346474.01,-3524.29,-0.48
346537.8,-3524.8,-0.51
346602.07,-3525.5,-0.7
346665.94,-3526.4,-0.9
346729.73,-3527.3,-0.9
346793.77,-3528.32,-1.02
346843.55,-3529.14,-0.82
346857.75,-3529.37,-0.23
346921.7,-3530.5,-1.13
346935.68,-3531.74,-1.24
346948.74,-3532.9,-1.16
346969.11,-3531.1,1.8
347029.17,-3532,-0.9
347082.17,-3532.73,-0.73
347125.7,-3533.27,-0.54
347173.44,-3533.87,-0.6
347237.49,-3534.74,-0.87
347301.23,-3535.69,-0.95
347359.82,-3536.36,-0.67
347411.21,-3537.09,-0.73
347457.97,-3537.83,-0.74
347521.46,-3538.63,-0.8
347585.29,-3539.52,-0.89
347634.49,-3540.18,-0.66
347698.03,-3540.9,-0.72
347761.33,-3541.84,-0.94
347825.2,-3542.65,-0.81
347889.3,-3543.65,-1
347952.9,-3544.49,-0.84
348016.24,-3545.33,-0.84
348079.56,-3546.27,-0.94
348142.35,-3547.26,-0.99
348205.62,-3548.16,-0.9
348260.59,-3548.82,-0.66
348315.68,-3549.52,-0.7
348371.75,-3550.3,-0.78
348425.27,-3550.96,-0.66
348478.81,-3551.64,-0.68
348533.03,-3552.32,-0.68
348597.06,-3553.08,-0.76
348660.86,-3554.08,-1
348724.76,-3554.89,-0.81
348788.66,-3555.77,-0.88
348852.51,-3556.55,-0.78
348916.5,-3557.37,-0.82
348980.09,-3558.14,-0.77
349044.01,-3558.99,-0.85
349107.65,-3559.72,-0.73
349171.74,-3560.66,-0.94
349235.33,-3561.53,-0.87
349299.22,-3562.5,-0.97
349363.18,-3563.32,-0.82
349427.04,-3564.22,-0.9
349491.04,-3564.87,-0.65
349554.02,-3565.7,-0.83
349617.99,-3566.53,-0.83
349681.99,-3567.34,-0.81
349745.48,-3568.19,-0.85
349809.11,-3569.23,-1.04
349873,-3570.2,-0.97
349936.92,-3571.12,-0.92
350000.82,-3571.86,-0.74
350064.63,-3572.67,-0.81
350119.48,-3573.28,-0.61
350173.28,-3573.89,-0.61
350228.07,-3574.58,-0.69
350274.86,-3575.28,-0.7
350338.73,-3576.41,-1.13
350402.76,-3577.27,-0.86
350465.68,-3578.1,-0.83
350528.82,-3578.84,-0.74
350591.88,-3579.73,-0.89
350655.83,-3580.56,-0.83
350719.62,-3581.49,-0.93
350782.67,-3582.46,-0.97
350846.49,-3583.29,-0.83
350909.67,-3584.1,-0.81
350972.59,-3584.92,-0.82
351025.62,-3585.58,-0.66
351080.21,-3586.34,-0.76
351136.03,-3587.15,-0.81
351189.55,-3588.04,-0.89
351253.33,-3588.95,-0.91
351316.97,-3589.72,-0.77
351380.8,-3590.51,-0.79
351401.97,-3590.83,-0.32
351402.78,-3590.84,-0.01
351444.49,-3591.48,-0.64
351508.58,-3592.37,-0.89
351572.36,-3593.16,-0.79
351636.04,-3594.03,-0.87
351699.22,-3595.01,-0.98
351762.93,-3595.9,-0.89
351826.85,-3596.76,-0.86
351890.66,-3597.47,-0.71
351954.4,-3598.25,-0.78
352018.54,-3598.95,-0.7
352082.01,-3599.91,-0.96
352145.79,-3600.58,-0.67
352200.25,-3601.41,-0.83
352239.96,-3602.04,-0.63
352241.56,-3604.47,-2.43
352246.67,-3602.22,2.25
352303.64,-3603.05,-0.83
352334.12,-3603.44,-0.39
352367.7,-3603.84,-0.4
352398.61,-3604.2,-0.36
352452.9,-3604.78,-0.58
352505.62,-3605.33,-0.55
352569.21,-3606.12,-0.79
352633.03,-3606.9,-0.78
352697.09,-3607.75,-0.85
352760.99,-3608.63,-0.88
352824.76,-3609.43,-0.8
352888.64,-3610.04,-0.61
352952.32,-3610.75,-0.71
353002.63,-3611.39,-0.64
353066.49,-3612.15,-0.76
353130.34,-3612.98,-0.83
353194.44,-3614.03,-1.05
353258.29,-3614.83,-0.8
353321.88,-3615.7,-0.87
353385.91,-3616.4,-0.7
353449.24,-3617.15,-0.75
353513.21,-3617.88,-0.73
353576.56,-3618.81,-0.93
353640.43,-3619.62,-0.81
353704.21,-3620.58,-0.96
353768.09,-3621.52,-0.94
353816.64,-3622.29,-0.77
353880.1,-3622.92,-0.63
353943.85,-3623.75,-0.83
354007.89,-3624.48,-0.73
354072.05,-3625.46,-0.98
354135.48,-3626.12,-0.66
354198.09,-3626.97,-0.85
354261.86,-3627.8,-0.83
354325.59,-3628.86,-1.06
354389.38,-3629.64,-0.78
354453.18,-3630.49,-0.85
354512.48,-3631.22,-0.73
354576.23,-3632.09,-0.87
354640.07,-3633.04,-0.95
354704,-3633.91,-0.87
354767.82,-3634.78,-0.87
354831.95,-3635.73,-0.95
354886.58,-3636.5,-0.77
354941.58,-3637.46,-0.96
354990.23,-3638.22,-0.76
355021.34,-3638.75,-0.53
355066.58,-3639.33,-0.58
355102.32,-3639.73,-0.4
355137,-3640.14,-0.41
355167.94,-3640.49,-0.35
355192.36,-3640.79,-0.3
355227.81,-3641.26,-0.47
355265.43,-3641.76,-0.5
355298.47,-3642.34,-0.58
355329.64,-3642.79,-0.45
355358.87,-3643.1,-0.31
355398.46,-3643.5,-0.4
355446.61,-3644.24,-0.74
355490,-3644.96,-0.72
355531.33,-3645.64,-0.68
355582.73,-3646.46,-0.82
355624.9,-3647,-0.54
355678.9,-3647.73,-0.73
355733.01,-3648.23,-0.5
355787.36,-3648.83,-0.6
355842.2,-3649.69,-0.86
355893.29,-3650.37,-0.68
355945.23,-3650.99,-0.62
355999.19,-3651.66,-0.67
356045.67,-3652.19,-0.53
356100.56,-3653.06,-0.87
356155.36,-3653.9,-0.84
356194.79,-3654.51,-0.61
356232.43,-3655.11,-0.6
356267.6,-3655.61,-0.5
356284.49,-3655.81,-0.2
356303.53,-3656.03,-0.22
356347.44,-3656.64,-0.61
356402.06,-3657.21,-0.57
356456.95,-3657.83,-0.62
356510.45,-3658.45,-0.62
356564.4,-3659.13,-0.68
356618.13,-3660,-0.87
356672.29,-3660.73,-0.73
356725.51,-3661.4,-0.67
356780.48,-3662.16,-0.76
356835.02,-3662.94,-0.78
356889.53,-3663.81,-0.87
356953.32,-3664.92,-1.11
356994.83,-3665.54,-0.62
357058.5,-3666.28,-0.74
357059.65,-3666.29,-0.01
357122.25,-3667.09,-0.8
357185.86,-3667.92,-0.83
357236.22,-3668.61,-0.69
357299.3,-3669.56,-0.95
357353.06,-3670.32,-0.76
357387.02,-3670.78,-0.46
357416.79,-3671.09,-0.31
357479.92,-3671.95,-0.86
357511.44,-3672.32,-0.37
357517.92,-3672.41,-0.09
357541.42,-3672.67,-0.26
357548.4,-3672.75,-0.08
357555.91,-3672.9,-0.15
357563.27,-3673.05,-0.15
357564.8,-3673.59,-0.54
357565.25,-3673.47,0.12
357566.34,-3673.17,0.3
357567.43,-3672.88,0.29
357567.85,-3672.77,0.11
357569.41,-3673.17,-0.4
357574.83,-3673.25,-0.08
357587.11,-3673.44,-0.19
357597.14,-3673.56,-0.12
357609.59,-3673.72,-0.16
357644.03,-3674.04,-0.32
357673.14,-3674.31,-0.27
357736.64,-3675,-0.69
357800.26,-3675.56,-0.56
357863.75,-3676.44,-0.88
357927.44,-3677.34,-0.9
357964.66,-3678.03,-0.69
358028.4,-3679.07,-1.04
358075.86,-3679.95,-0.88
358123.29,-3680.67,-0.72
358187.12,-3681.62,-0.95
358250.96,-3682.39,-0.77
358314.73,-3683.26,-0.87
358364.86,-3683.92,-0.66
358403.54,-3684.52,-0.6
358466.96,-3685.54,-1.02
358530.82,-3686.31,-0.77
358586.89,-3687.14,-0.83
358641.38,-3687.78,-0.64
358688.42,-3688.44,-0.66
358733.52,-3688.93,-0.49
358773.17,-3689.46,-0.53
358822.47,-3690.12,-0.66
358878.1,-3690.88,-0.76
358921.1,-3691.64,-0.76
358966.39,-3692.02,-0.38
359029.66,-3692.94,-0.92
359093.5,-3693.41,-0.47
359157.42,-3694.11,-0.7
359220.99,-3694.93,-0.82
359284.88,-3695.83,-0.9
359348.44,-3696.84,-1.01
359412.02,-3697.69,-0.85
359474.96,-3698.47,-0.78
359538.62,-3699.16,-0.69
359602.41,-3699.88,-0.72
359666.49,-3700.8,-0.92
359730.19,-3701.7,-0.9
359793.89,-3702.47,-0.77
359857.78,-3703.25,-0.78
359921.63,-3704.18,-0.93
359985.33,-3704.98,-0.8
360049.19,-3705.59,-0.61
360112.54,-3706.18,-0.59
360176.37,-3706.89,-0.71
360223.41,-3707.49,-0.6
360287.1,-3708.63,-1.14
360337.07,-3711.83,-3.2
360350.95,-3709.61,2.22
360414.3,-3710.49,-0.88
360478.07,-3711.58,-1.09
360532.11,-3712.4,-0.82
360587.39,-3713.33,-0.93
360642.3,-3714.15,-0.82
360706.26,-3714.96,-0.81
360770.12,-3715.75,-0.79
360833.85,-3716.81,-1.06
360889.09,-3717.68,-0.87
360930.02,-3718.22,-0.54
360994.1,-3718.93,-0.71
361057.95,-3719.85,-0.92
361121.91,-3720.74,-0.89
361177.43,-3721.68,-0.94
361226.57,-3722.24,-0.56
361290.54,-3723.07,-0.83
361341.47,-3723.57,-0.5
361391.94,-3724.4,-0.83
361441.42,-3725.12,-0.72
361488.63,-3725.71,-0.59
361552.75,-3726.53,-0.82
361616.56,-3727.62,-1.09
361673.64,-3728.53,-0.91
361737.39,-3729.38,-0.85
361791.59,-3730.13,-0.75
361846.77,-3730.79,-0.66
361902.43,-3731.51,-0.72
361957.42,-3732.1,-0.59
362001.29,-3732.82,-0.72
362064.9,-3733.46,-0.64
362128.69,-3734.43,-0.97
362192.38,-3735.3,-0.87
362256.02,-3736.27,-0.97
362319.81,-3736.93,-0.66
362383.59,-3737.67,-0.74
362447.68,-3738.27,-0.6
362511.56,-3739.11,-0.84
362575.42,-3739.83,-0.72
362639.1,-3740.7,-0.87
362702.92,-3741.77,-1.07
362766.75,-3742.52,-0.75
362830.63,-3743.29,-0.77
362870.94,-3744.18,-0.89
362879.74,-3743.9,0.28
362883.28,-3745.35,-1.45
362896.1,-3744.16,1.19
362912.63,-3748.39,-4.23
362959.91,-3745.21,3.18
363014.99,-3745.76,-0.55
363043.6,-3746.08,-0.32
363057.41,-3744.36,1.72
363107.59,-3746.77,-2.41
363140.48,-3747.39,-0.62
363174.73,-3748.07,-0.68
363237.82,-3749.09,-1.02
363301.47,-3750.14,-1.05
363364.98,-3750.82,-0.68
363428.58,-3751.54,-0.72
363492.39,-3752.3,-0.76
363556.2,-3753.19,-0.89
363620.07,-3754.11,-0.92
363683.92,-3755.15,-1.04
363747.77,-3756.29,-1.14
363785.53,-3756.81,-0.52
363785.56,-3756.81,0
363849.32,-3757.6,-0.79
363913.37,-3758.44,-0.84
363976.94,-3759.29,-0.85
364040.32,-3760.05,-0.76
364104.1,-3761.08,-1.03
364167.83,-3761.88,-0.8
364230.64,-3762.69,-0.81
364294.7,-3763.44,-0.75
364337.58,-3764.06,-0.62
364379.75,-3764.64,-0.58
364443.55,-3765.64,-1
364507.22,-3766.61,-0.97
364567,-3767.49,-0.88
364567.94,-3767.51,-0.02
364630.92,-3768.29,-0.78
364694.81,-3769.28,-0.99
364758.56,-3770.01,-0.73
364822.22,-3770.92,-0.91
364854.22,-3771.32,-0.4
364886.16,-3771.72,-0.4
364949.72,-3772.3,-0.58
365013.52,-3773.02,-0.72
365077.34,-3773.85,-0.83
365140.55,-3774.92,-1.07
365203.72,-3775.69,-0.77
365267.53,-3776.72,-1.03
365330.93,-3777.56,-0.84
365363.94,-3778.02,-0.46
365405.64,-3778.48,-0.46
365469.32,-3779.48,-1
365507.8,-3780.14,-0.66
365553.59,-3780.87,-0.73
365608.71,-3781.65,-0.78
365669.46,-3782.52,-0.87
365733.15,-3783.78,-1.26
365768.63,-3784.41,-0.63
365831.94,-3785.62,-1.21
365871.42,-3786.16,-0.54
365935.03,-3787.18,-1.02
365998.75,-3788.29,-1.11
366062.18,-3789.19,-0.9
366125.14,-3790.08,-0.89
366187.65,-3791.23,-1.15
366251.07,-3792.37,-1.14
366314.38,-3793.54,-1.17
366377.78,-3794.46,-0.92
366439.17,-3795.58,-1.12
366481.82,-3796.25,-0.67
366545.6,-3797.04,-0.79
366609.47,-3797.98,-0.94
366672.93,-3799.04,-1.06
366736.34,-3800.03,-0.99
366799.93,-3800.78,-0.75
366863.78,-3801.85,-1.07
366918.92,-3802.49,-0.64
366972.93,-3803.41,-0.92
367018,-3804.17,-0.76
367069.81,-3805.17,-1
367116.68,-3805.83,-0.66
367166.99,-3806.58,-0.75
367215.26,-3807.14,-0.56
367279.2,-3808.15,-1.01
367343.18,-3808.87,-0.72
367406.44,-3809.9,-1.03
367469.87,-3810.82,-0.92
367534.06,-3811.75,-0.93
367597.69,-3812.69,-0.94
367661.69,-3813.51,-0.82
367725.09,-3814.18,-0.67
367788.71,-3815.05,-0.87
367852.49,-3816.04,-0.99
367916.38,-3816.83,-0.79
367980.02,-3817.84,-1.01
368044.04,-3818.76,-0.92
368107.89,-3819.58,-0.82
368171.61,-3820.4,-0.82
368217.09,-3821.07,-0.67
368248.12,-3824.32,-3.25
368280.85,-3821.88,2.44
368319.4,-3822.41,-0.53
368361.04,-3822.83,-0.42
368400.52,-3823.41,-0.58
368443.06,-3824.11,-0.7
368481.48,-3824.63,-0.52
368525.21,-3825.24,-0.61
368572.9,-3825.89,-0.65
368611.15,-3826.35,-0.46
368674.96,-3827.42,-1.07
368738.67,-3828.34,-0.92
368802.34,-3829.12,-0.78
368866,-3829.78,-0.66
368929.91,-3830.46,-0.68
368978.66,-3831.11,-0.65
369034.18,-3831.94,-0.83
369071.96,-3832.5,-0.56
369120.37,-3833.16,-0.66
369171.88,-3833.81,-0.65
369225.68,-3834.59,-0.78
369273.05,-3835.31,-0.72
369322.92,-3836,-0.69
369370.68,-3836.66,-0.66
369415.4,-3837.26,-0.6
369465.2,-3837.93,-0.67
369529.18,-3838.73,-0.8
369584.63,-3839.64,-0.91
369639.81,-3840.34,-0.7
369676.68,-3840.83,-0.49
369728.45,-3841.55,-0.72
369778.31,-3842.31,-0.76
369814.99,-3842.86,-0.55
369878.82,-3843.53,-0.67
369942.76,-3844.35,-0.82
369985.68,-3845.19,-0.84
370006.52,-3845.24,-0.05
370027.07,-3845.59,-0.35
370070.19,-3846.31,-0.72
370133.89,-3847.37,-1.06
370196.22,-3848.01,-0.64
370259.85,-3848.81,-0.8
370298.08,-3849.23,-0.42
370361.13,-3849.61,-0.38
370395.3,-3849.99,-0.38
370420.03,-3850.33,-0.34
370483.61,-3851.37,-1.04
370547.39,-3851.99,-0.62
370611.25,-3852.92,-0.93
370675.01,-3853.9,-0.98
370704.76,-3854.39,-0.49
370736.27,-3854.86,-0.47
370766.49,-3855.34,-0.48
370829.6,-3856.34,-1
370892.96,-3857.11,-0.77
370956.52,-3857.84,-0.73
371020.4,-3858.49,-0.65
371083.17,-3859.3,-0.81
371146.36,-3860.28,-0.98
371209.71,-3860.73,-0.45
371272.94,-3861.43,-0.7
371333.36,-3862.2,-0.77
371377.91,-3862.91,-0.71
371411.64,-3863.39,-0.48
371464.87,-3864.19,-0.8
371518.87,-3864.91,-0.72
371582.29,-3865.68,-0.77
371645.35,-3866.63,-0.95
371708.67,-3867.66,-1.03
371772.05,-3868.49,-0.83
371835.46,-3869.2,-0.71
371898.47,-3869.87,-0.67
371961.68,-3870.77,-0.9
372025.07,-3871.79,-1.02
372087.69,-3872.7,-0.91
372150.99,-3873.34,-0.64
372197.33,-3873.83,-0.49
372251.29,-3874.5,-0.67
372286.59,-3875.01,-0.51
372329.91,-3875.62,-0.61
372377.92,-3876.32,-0.7
372434.29,-3877.04,-0.72
372497.61,-3878.07,-1.03
372560.83,-3878.78,-0.71
372624.05,-3879.53,-0.75
372687.47,-3880.11,-0.58
372750.75,-3880.8,-0.69
372813.95,-3881.62,-0.82
372877.27,-3882.53,-0.91
372940.55,-3883.5,-0.97
373003.22,-3884.21,-0.71
373066.46,-3885.04,-0.83
373129.65,-3885.77,-0.73
373192.72,-3886.74,-0.97
373256.26,-3887.67,-0.93
373319.59,-3888.6,-0.93
373383.27,-3889.58,-0.98
373446.98,-3890.32,-0.74
373510.24,-3891.03,-0.71
373569.99,-3891.57,-0.54
373573.46,-3891.6,-0.03
373575.1,-3891.61,-0.01
373575.98,-3891.62,-0.01
373630,-3892.18,-0.56
373673.24,-3892.63,-0.45
373693.33,-3892.86,-0.23
373756.42,-3893.58,-0.72
373756.42,-3893.58,0
373763.29,-3893.67,-0.09
373763.29,-3893.67,0
373826.76,-3894.53,-0.86
373844.52,-3894.81,-0.28
373889.97,-3895.48,-0.67
373953.29,-3896.47,-0.99
374016.54,-3897.33,-0.86
374080.01,-3897.96,-0.63
374143.69,-3898.72,-0.76
374206.86,-3899.39,-0.67
374270.42,-3900.37,-0.98
374334.03,-3901.35,-0.98
374396.25,-3902.19,-0.84
374458.5,-3903.07,-0.88
374501.41,-3903.64,-0.57
374549.69,-3904.24,-0.6
374612.93,-3904.94,-0.7
374676.1,-3905.6,-0.66
374739.61,-3906.2,-0.6
374803.08,-3906.89,-0.69
374866.46,-3907.43,-0.54
374929.81,-3908.23,-0.8
374939.98,-3908.39,-0.16
374993.54,-3909.25,-0.86
375055.9,-3910.19,-0.94
375119.45,-3911.22,-1.03
375182.95,-3912.13,-0.91
375246.27,-3912.87,-0.74
375309.8,-3913.57,-0.7
375373.05,-3914.23,-0.66
375436.26,-3915.06,-0.83
375499.64,-3915.87,-0.81
375562.21,-3916.81,-0.94
375625.63,-3917.63,-0.82
375688.91,-3918.42,-0.79
375752.12,-3919.07,-0.65
375815.33,-3919.73,-0.66
375878.49,-3920.45,-0.72
375941.89,-3921.03,-0.58
376004.62,-3921.86,-0.83
376067.92,-3922.77,-0.91
376095.46,-3923.22,-0.45
376137.83,-3923.85,-0.63
376201.54,-3924.93,-1.08
376264.97,-3925.71,-0.78
376328.07,-3926.41,-0.7
376391.2,-3927,-0.59
376454.74,-3927.96,-0.96
376486.78,-3928.39,-0.43
376518.94,-3928.91,-0.52
376573.38,-3929.71,-0.8
376636.66,-3930.51,-0.8
376698.15,-3931.19,-0.68
376760.7,-3931.89,-0.7
376824.25,-3932.42,-0.53
376887.61,-3933.21,-0.79
376951.24,-3934.1,-0.89
377013.94,-3935.06,-0.96
377077.32,-3935.99,-0.93
377140.82,-3936.59,-0.6
377193.02,-3937.25,-0.66
377236.46,-3937.94,-0.69
377289.92,-3938.58,-0.64
377337.59,-3939.3,-0.72
377379.38,-3939.76,-0.46
377419.76,-3940.31,-0.55
377458.71,-3940.86,-0.55
377498.66,-3941.36,-0.5
377559.29,-3942.25,-0.89
377617.92,-3942.88,-0.63
377681.07,-3943.88,-1
377731.11,-3944.57,-0.69
377793.81,-3945.51,-0.94
377856.82,-3946.18,-0.67
377920.15,-3947.01,-0.83
377983.47,-3947.86,-0.85
378046.83,-3948.82,-0.96
378110.18,-3949.64,-0.82
378173.75,-3950.39,-0.75
378236.57,-3951.36,-0.97
378299.76,-3952.47,-1.11
378363.24,-3953.28,-0.81
378426.45,-3954.19,-0.91
378489.53,-3955.12,-0.93
378553.18,-3956.01,-0.89
378616.97,-3956.73,-0.72
378680.88,-3957.58,-0.85
378723.02,-3958.25,-0.67
378769.19,-3958.97,-0.72
378832.73,-3960.01,-1.04
378884.83,-3960.65,-0.64
378945.64,-3961.57,-0.92
378948.37,-3962.52,-0.95
378953.49,-3961.73,0.79
379008.65,-3962.58,-0.85
379017.42,-3962.73,-0.15
379071.42,-3963.29,-0.56
379135.21,-3964.24,-0.95
379189.76,-3965.08,-0.84
379244.66,-3965.96,-0.88
379281.28,-3966.51,-0.55
379345.05,-3967.33,-0.82
379407.95,-3968.26,-0.93
379471.36,-3969.32,-1.06
379534.41,-3970.27,-0.95
379597.43,-3971.29,-1.02
379661.57,-3972.15,-0.86
379725.32,-3972.88,-0.73
379788.67,-3973.75,-0.87
379852.09,-3974.57,-0.82
379915.21,-3975.59,-1.02
379970.44,-3976.09,-0.5
380012.4,-3976.66,-0.57
380053.45,-3977.21,-0.55
380087.9,-3977.69,-0.48
380127.22,-3978.39,-0.7
380190.92,-3979.26,-0.87
380204.58,-3979.13,0.13
380247.28,-3980.56,-1.43
380254.3,-3980.34,0.22
380261.77,-3981.01,-0.67
380317.5,-3981,0.01
380381.01,-3981.76,-0.76
380444.09,-3982.39,-0.63
380507.46,-3983.11,-0.72
380571.13,-3983.9,-0.79
380635.07,-3984.84,-0.94
380698.51,-3985.79,-0.95
380741.09,-3986.25,-0.46
380782.44,-3986.71,-0.46
380846.07,-3987.4,-0.69
380909.35,-3988.19,-0.79
380972.51,-3989.1,-0.91
381036.05,-3990,-0.9
381098.69,-3990.94,-0.94
381154.03,-3991.47,-0.53
381199.36,-3991.76,-0.29
381262.78,-3992.29,-0.53
381326.16,-3993.05,-0.76
381382.79,-3993.67,-0.62
381406.58,-3991.78,1.89
381446.01,-3994.06,-2.28
381460.44,-3992.47,1.59
381500.79,-3994.67,-2.2
381509.12,-3994.69,-0.02
381516.85,-3993.64,1.05
381572.54,-3995.57,-1.93
381620.36,-3996.44,-0.87
381674.92,-3997.36,-0.92
381738.38,-3998.46,-1.1
381801.93,-3999.49,-1.03
381865.45,-4000.42,-0.93
381928.71,-4001.13,-0.71
381980.87,-4001.93,-0.8
382033.07,-4002.62,-0.69
382077.77,-4003.41,-0.79
382090.28,-4003.04,0.37
382122.57,-4003.87,-0.83
382185.99,-4004.75,-0.88
382249.73,-4005.57,-0.82
382312.23,-4006.34,-0.77
382375.99,-4006.82,-0.48
382439.36,-4007.46,-0.64
382502.94,-4008.24,-0.78
382566.52,-4009.17,-0.93
382623.61,-4010.09,-0.92
382687.05,-4010.99,-0.9
382750.59,-4011.88,-0.89
382805.88,-4012.42,-0.54
382869.49,-4013,-0.58
382932.62,-4013.61,-0.61
382985.56,-4014.23,-0.62
383021.73,-4014.77,-0.54
383039.49,-4014.99,-0.22
383096.1,-4015.7,-0.71
383153.4,-4016.42,-0.72
383188.4,-4016.73,-0.31
383214.04,-4016.98,-0.25
383277.07,-4017.77,-0.79
383340.35,-4018.56,-0.79
383403.93,-4019.42,-0.86
383467.23,-4020.44,-1.02
383530.58,-4021.41,-0.97
383593.89,-4022.41,-1
383657.61,-4023.23,-0.82
383721.07,-4023.85,-0.62
383784.24,-4024.48,-0.63
383847.72,-4024.82,-0.34
383911.59,-4025.38,-0.56
383974.76,-4026.02,-0.64
384007.57,-4026.56,-0.54
384050.31,-4027.18,-0.62
384080.52,-4027.66,-0.48
384109.43,-4028.16,-0.5
384173.3,-4029.2,-1.04
384237.29,-4030.3,-1.1
384301.07,-4031.2,-0.9
384364.56,-4032,-0.8
384428.44,-4032.49,-0.49
384489.84,-4033.22,-0.73
384553.56,-4033.99,-0.77
384617.24,-4034.92,-0.93
384656.78,-4035.41,-0.49
384681.29,-4035.77,-0.36
384738.47,-4036.55,-0.78
384787.73,-4037.25,-0.7
384851.55,-4038.04,-0.79
384867.7,-4037.38,0.66
384878,-4038.13,-0.75
384885.48,-4037.04,1.09
384890.27,-4038.38,-1.34
384891.28,-4038.89,-0.51
384891.74,-4038.76,0.13
384892.82,-4038.46,0.3
384893.89,-4038.15,0.31
384894.36,-4038.02,0.13
384895.37,-4038.47,-0.45
384901.12,-4038.06,0.41
384907.1,-4038.58,-0.52
384914.93,-4038.12,0.46
384939.54,-4038.96,-0.84
384977.97,-4039.32,-0.36
385028.39,-4040.09,-0.77
385092.38,-4040.97,-0.88
385144.12,-4041.88,-0.91
385190.13,-4042.44,-0.56
385235.1,-4043.13,-0.69
385298.98,-4043.76,-0.63
385362.83,-4044.35,-0.59
385416.99,-4044.74,-0.39
385471.18,-4045.33,-0.59
385528.36,-4045.95,-0.62
385587.39,-4046.78,-0.83
