RC3-before,,
wcAi,Distortion,1st Ord Diff
8235.76,-5.37,-0.03
8281.04,-5.43,-0.06
8326.32,-5.46,-0.03
8371.57,-5.51,-0.05
8416.85,-5.54,-0.03
8461.27,-5.58,-0.04
8506.57,-5.57,0.01
8551.85,-5.59,-0.02
8597,-5.58,0.01
8642.28,-5.62,-0.04
8687.57,-5.64,-0.02
8725.04,-5.71,-0.07
8733.27,-5.69,0.02
8742.09,-5.68,0.01
8743.62,-6.19,-0.51
8768.92,-5.66,0.53
8814.27,-5.63,0.03
8859.6,-5.63,0
8904.96,-5.6,0.03
8950.23,-5.66,-0.06
8995.5,-5.72,-0.06
9036.71,-6.03,-0.31
9038.28,-5.71,0.32
9046.61,-5.75,-0.04
9055.95,-5.66,0.09
9101.52,-5.58,0.08
9146.85,-5.6,-0.02
9192.21,-5.59,0.01
9201.78,-5.57,0.02
9247.13,-5.54,0.03
9292.47,-5.54,0
9337.73,-5.59,-0.05
9383.04,-5.61,-0.02
9427.62,-5.61,0
9472.96,-5.6,0.01
9518.3,-5.58,0.02
9563.64,-5.56,0.02
9608.74,-5.59,-0.03
9654.04,-5.6,-0.01
9699.33,-5.64,-0.04
9744.61,-5.64,0
9789.91,-5.66,-0.02
9808.64,-5.64,0.02
9818.78,-5.67,-0.03
9828.73,-5.69,-0.02
9860.87,-5.86,-0.17
9904.32,-5.83,0.03
9949.61,-5.86,-0.03
9994.93,-5.86,-1.82E-12
10040.27,-5.85,0.01
10085.65,-5.78,0.07
10130.98,-5.76,0.02
10176.32,-5.73,0.03
10221.65,-5.74,-0.01
10266.93,-5.79,-0.05
10312.25,-5.82,-0.03
10357.51,-5.89,-0.07
10402.79,-5.9,-0.01
10412.28,-8.89,-2.99
10422.05,-6.33,2.56
10447.7,-5.92,0.41
10493.04,-5.9,0.02
10510.14,-5.89,0.01
10533.07,-5.87,0.02
10578.38,-5.9,-0.03
10603.46,-8.34,-2.44
10623.37,-5.92,2.42
10634.71,-5.94,-0.02
10638.03,-5.97,-0.03
10658.86,-5.96,0.01
10696.13,-6.01,-0.05
10736.41,-6.01,0
10776.72,-5.98,0.03
10814.05,-5.92,0.06
10851.19,-5.9,0.02
10888.5,-5.86,0.04
10925.81,-5.84,0.02
10963.1,-5.81,0.03
11000.37,-5.82,-0.01
11037.63,-5.86,-0.04
11074.89,-5.9,-0.04
11112.15,-5.93,-0.03
11149.39,-5.94,-0.01
11189.63,-6.02,-0.08
11229.93,-5.94,0.08
11267.2,-5.96,-0.02
11304.4,-6.01,-0.05
11341.65,-6.06,-0.05
11378.94,-6.04,0.02
11416.23,-6.03,0.01
11453.43,-6.1,-0.07
11490.76,-6.08,0.02
11528.11,-6.01,0.07
11565.36,-6.04,-0.03
11602.63,-6.08,-0.04
11639.89,-6.09,-0.01
11677.16,-6.13,-0.04
11714.4,-6.17,-0.04
11751.68,-6.16,0.01
11788.91,-6.23,-0.07
11826.14,-6.29,-0.06
11863.46,-6.24,0.05
11900.72,-6.23,0.01
11938.03,-6.21,0.02
11975.29,-6.21,0
12012.54,-6.23,-0.02
12052.8,-6.22,0.01
12090.06,-6.27,-0.05
12127.33,-6.29,-0.02
12164.61,-6.32,-0.03
12201.94,-6.31,0.01
12239.22,-6.36,-0.05
12276.51,-6.43,-0.07
12313.78,-6.46,-0.03
12351.09,-6.48,-0.02
12387,-6.52,-0.04
12424.26,-6.54,-0.02
12461.48,-6.62,-0.08
12498.74,-6.65,-0.03
12536.02,-6.67,-0.02
12573.25,-6.73,-0.06
12610.48,-6.78,-0.05
12647.69,-6.86,-0.08
12684.92,-6.9,-0.04
12721.67,-6.9,0
12722.17,-6.88,0.02
12722.36,-6.88,0
12723.66,-6.91,-0.03
12759.45,-6.9,0.01
12796.71,-6.9,-1.82E-12
12833.96,-6.95,-0.05
12871.21,-7,-0.05
12908.46,-7.01,-0.01
12945.7,-7.07,-0.06
12982.96,-7.1,-0.03
13020.24,-7.13,-0.03
13057.48,-7.18,-0.05
13094.72,-7.21,-0.03
13131.98,-7.23,-0.02
13169.3,-7.2,0.03
13206.52,-7.25,-0.05
13243.76,-7.3,-0.05
13280.99,-7.36,-0.06
13318.24,-7.38,-0.02
13355.51,-7.4,-0.02
13392.81,-7.38,0.02
13430.07,-7.39,-0.01
13467.35,-7.39,0
13504.67,-7.41,-0.02
13541.91,-7.43,-0.02
13579.15,-7.47,-0.04
13616.38,-7.56,-0.09
13653.7,-7.52,0.04
13690.97,-7.53,-0.01
13728.24,-7.52,0.01
13765.51,-7.55,-0.03
13802.71,-7.63,-0.08
13840.01,-7.6,0.03
13877.28,-7.64,-0.04
13914.55,-7.67,-0.03
13951.78,-7.72,-0.05
13989.05,-7.71,0.01
14026.34,-7.74,-0.03
14063.63,-7.73,0.01
14100.91,-7.72,0.01
14138.17,-7.74,-0.02
14175.46,-7.73,0.01
