RC1-A,
,
absolute_odometer,feature_type
2297.58,refpoint1
2297.69,Weld
2297.82,refpoint1
2319.38,refpoint1
2319.58,Weld
2319.76,refpoint1
2345.04,refpoint1
2345.26,Weld
2345.45,refpoint1
2370.31,refpoint1
2370.52,Weld
2370.71,refpoint1
2395.38,Weld
2412.97,Weld
2432.46,refpoint1
2432.68,Weld
2432.87,refpoint1
2456.81,refpoint1
2457.03,Weld
2457.22,refpoint1
2480.79,refpoint1
2481,Weld
2481.2,refpoint1
2491.27,Weld
2515.92,refpoint1
2516.05,Weld
2516.18,refpoint1
2538.15,refpoint1
2538.28,Weld
2538.43,refpoint1
2563.26,refpoint1
2563.42,Weld
2563.56,refpoint1
2587.67,refpoint1
2587.79,Weld
2587.94,refpoint1
2609.38,refpoint1
2609.55,Weld
2609.72,refpoint1
2633.87,refpoint1
2634.05,Weld
2634.21,refpoint1
2659.23,refpoint1
2659.39,Weld
2659.55,refpoint1
2682.75,refpoint1
2682.9,Weld
2683.04,refpoint1
2704.49,refpoint1
2704.71,Weld
2704.94,refpoint1
2729.26,refpoint1
2729.39,Weld
2729.54,refpoint1
2737.53,Weld
2741.35,Weld
2747.67,refpoint2
2749.99,refpoint1
2750.15,Weld
2750.3,refpoint1
2775.07,refpoint1
2775.21,Weld
2775.35,refpoint1
2800.1,refpoint1
2800.24,Weld
2800.43,refpoint1
2822.59,refpoint1
2822.73,Weld
2822.89,refpoint1
2832.77,refpoint4
2833.07,Weld
2833.09,refpoint3
2854.43,Weld
2874.84,Weld
2874.86,refpoint3
2897.77,refpoint1
2897.92,Weld
2898.08,refpoint1
2923.4,refpoint1
2923.55,Weld
2923.71,refpoint1
2947.72,refpoint1
2947.84,Weld
2947.99,refpoint1
2968.79,refpoint1
2968.93,Weld
2969.08,refpoint1
2994.52,refpoint1
2994.68,Weld
2994.83,refpoint1
3016.87,refpoint1
3017.01,Weld
3017.15,refpoint1
3039.52,refpoint1
3039.66,Weld
3039.82,refpoint1
3063.71,refpoint1
3063.85,Weld
3064,refpoint1
3087.7,refpoint1
3087.85,Weld
3088,refpoint1
3112.39,refpoint1
3112.54,Weld
3112.69,refpoint1
3136.55,refpoint1
3136.68,Weld
3136.84,refpoint1
3161.91,refpoint1
3162.07,Weld
3162.19,refpoint1
3184.21,refpoint1
3184.34,Weld
3184.47,refpoint1
3189.61,Weld
3189.63,refpoint3
3222.79,Weld
3264.63,Weld
3264.65,refpoint3
3272.93,refpoint5
3278.11,refpoint1
3278.25,Weld
3278.41,refpoint1
3301.39,refpoint1
3301.55,Weld
3301.69,refpoint1
3326.25,refpoint1
3326.4,Weld
3326.54,refpoint1
3346.9,refpoint1
3347.05,Weld
3347.21,refpoint1
3371.54,refpoint1
3371.69,Weld
3371.83,refpoint1
3396,refpoint1
3396.14,Weld
3396.29,refpoint1
3421.18,refpoint1
3421.31,Weld
3421.46,refpoint1
3445.51,refpoint1
3445.66,Weld
3445.81,refpoint1
3470.7,refpoint1
3470.85,Weld
3471,refpoint1
3495.51,refpoint1
3495.66,Weld
3495.8,refpoint1
3520.98,refpoint1
3521.12,Weld
3521.27,refpoint1
3546.6,refpoint1
3546.73,Weld
3546.88,refpoint1
3570.37,refpoint1
3570.52,Weld
3570.69,refpoint1
3592.04,refpoint1
3592.19,Weld
3592.33,refpoint1
3616.17,refpoint1
3616.33,Weld
3616.51,refpoint1
3641.53,refpoint1
3641.68,Weld
3641.87,refpoint1
3666.49,refpoint1
3666.71,Weld
3666.92,refpoint1
3691.02,refpoint1
3691.25,Weld
3691.44,refpoint1
3692.65,Weld
3716.48,refpoint1
3716.71,Weld
3716.92,refpoint1
3741.81,refpoint1
3742.03,Weld
3742.22,refpoint1
3766.74,refpoint1
3766.95,Weld
3767.16,refpoint1
3791.33,refpoint1
3791.54,Weld
3791.76,refpoint1
3814.11,Weld
3820.64,Weld
3841.6,refpoint1
3841.81,Weld
3842.03,refpoint1
3861.57,Weld
3866.84,Weld
3890.36,refpoint1
3890.58,Weld
3890.8,refpoint1
3915.39,refpoint1
3915.62,Weld
3915.82,refpoint1
3940.86,refpoint1
3941.1,Weld
3941.33,refpoint1
3966.17,refpoint1
3966.42,Weld
3966.61,refpoint1
3990.93,refpoint1
3991.14,Weld
3991.39,refpoint1
4011.99,Weld
4023.93,Weld
4046.15,Weld
4060.04,refpoint2
4062.29,refpoint1
4062.52,Weld
4062.75,refpoint1
4068.47,refpoint2
4087.38,refpoint1
4087.6,Weld
4087.82,refpoint1
4112.68,refpoint1
4112.93,Weld
4113.12,refpoint1
4136.19,refpoint1
4136.4,Weld
4136.64,refpoint1
4161.37,refpoint1
4161.61,Weld
4161.82,refpoint1
4185.44,refpoint1
4185.66,Weld
4185.87,refpoint1
4210.36,refpoint1
4210.58,Weld
4210.81,refpoint1
4234.85,refpoint1
4235.09,Weld
4235.31,refpoint1
4259.35,refpoint1
4259.58,Weld
4259.81,refpoint1
4282.03,refpoint1
4282.27,Weld
4282.49,refpoint1
4287.37,Weld
4287.52,refpoint1
4287.95,refpoint1
4307.63,refpoint1
